razao_social;cnpj
F C MATOS OLIVEIRA LTDA;03180674000294
F DE V M COSTA;3,45186E+13
F J PEREIRA;1,23959E+13
F L DA FONSECA NETO LTDA;1,93093E+13
F L DA FONSECA NETO LTDA;1,93093E+13
FORTEGAZ COMERCIO DE GLP LTDA;3,52166E+13
FORTEGAZ COMERCIO DE GLP LTDA;3,52166E+13
FRANCINALDO CUNHA DE OLIVEIRA LTDA;3,7915E+13
FRANCISCO NETO RODRIGUES DE SOUSA LTDA;08755964000232
FURTADO E PENHA LTDA;1,37952E+13
G10 COMERCIO DE GAS E SERVICOS LTDA;1,15443E+13
G B B COMERCIO VAREJISTA DE GAS LTDA;2,81421E+13
G B B COMERCIO VAREJISTA DE GAS LTDA;2,81421E+13
G B B COMERCIO VAREJISTA DE GAS LTDA;2,81421E+13
G B B COMERCIO VAREJISTA DE GAS LTDA;2,81421E+13
G B BEZERRA COMERCIO VAREJISTA DE GAS;3,10347E+13
G B BEZERRA COMERCIO VAREJISTA DE GAS;3,10347E+13
G B DOS REIS COMERCIO;04117489000307
G B DOS REIS COMERCIO;04117489000218
G DE BRITO PEREIRA;2,60645E+13
GISELE NOGUEIRA BARROS 00838986382;3,68043E+13
G PINTO CUTRIM;5,07387E+13
HORIZONTE REVENDEDORA DE GAS LTDA;2,65474E+13
IMPERIO DO GAS LTDA;2,87903E+13
IMPERIOS DO GAS LTDA;1,86277E+13
IVAC COMERCIO DE GLP LTDA;5,17234E+13
IVANGAS COMERCIO DE GLP EIRELI;1,42886E+13
J A COMECIO DE GAS LTDA;2,84133E+13
J A FURTADO SILVA E CIA LTDA;06329381000648
J A FURTADO SILVA E CIA LTDA;06329381000567
J A FURTADO SILVA E CIA LTDA;06329381000133
J C RIBEIRO DA SILVA;07520666000110
J D M DA CONCEICAO LTDA;2,65988E+13
J K DISTRIBUIDORA DE GAS LTDA;04606551000154
JOAO RAFAEL GAS LTDA;5,29901E+13
J OLIVEIRA SOARES LTDA;1,57272E+13
J OLIVEIRA SOARES LTDA;1,57272E+13
J OLIVEIRA SOARES LTDA;1,57272E+13
JOSE MONTEIRO DA SILVA;3,81604E+13
J RIBAMAR DE CASTRO;3,47892E+13
J R LIMA RAMALHO JUNIOR;07335552000108
J S DA SILVA MATERIAL DE CONSTRUCAO;08673399000183
J S SILVA GAS EIRELI;1,30781E+13
L B COMERCIO DE GAS LTDA;02808744000162
L C FERREIRA E CIA LTDA;3,91574E+13
L DA SILVA DIAS;00055578000145
L F DEPOSITO DE GAS LTDA;5,29207E+13
LIMA GAZ LTDA;05052623000121
L P DE OLIVEIRA;4,89223E+13
LUCIVAL G DE ABREU;03408686000142
M A A SALOMAO LTDA;05624349000207
MANACAS DISTRIBUIDORA DE GAS E AGUA LTDA;5,54309E+13
MARANHENSE COMERCIO DE GAS LTDA;3,70333E+13
MARCOS A SOUSA LTDA;3,36609E+13
MARCOS A SOUSA LTDA;3,36609E+13
MARIO BENDER;06695709000135
MASSA DISTRIBUIDORA DE GAS LTDA;5,70628E+13
MASSA DISTRIBUIDORA DE GAS LTDA;5,70628E+13
M CARNEIRO LIMA;1,75752E+13
M CESARIO FILHO;08188287000641
M CESARIO FILHO;08188287000137
M DE J DO N DA LUZ;3,25104E+13
M J MARTINS GOMES;2,36184E+13
MOURAO COMERCIO DE GAS E BEBIDAS LTDA;5,47455E+13
M R C BARBOSA GAS;1,4471E+13
M S PASSOS LTDA;4,57765E+13
M Z DE MACEDO;03356319000142
NOVOMIX ATACADISTA E VAREJISTA LTDA;2,8331E+13
OLIMPIO GAS LTDA;5,04363E+13
P A B SILVA E CIA LTDA;1,81003E+13
PAULO M R MUNIZ;08251384000127
P DA SILVA MARINHO;3,01839E+13
PORTOS EMPREENDIMENTOS LTDA;7,37875E+13
PORTOS EMPREENDIMENTOS LTDA;7,37875E+13
POSTO CARONE LTDA;2,90185E+13
POSTO CARONE LTDA;2,90185E+13
POSTO CARONE LTDA;2,90185E+13
POSTO CARONE LTDA;2,90185E+13
POSTO MAGNOLIA LTDA;3,51234E+13
POSTO MAGNOLIA LTDA;3,51234E+13
PRIME DISTRIBUIDORA DE GLP LTDA;4,50735E+13
RAINHA DO GAS LTDA;1,91107E+13
RAINNA COMERCIO DE GAS LTDA;08575951000362
RAINNA COMERCIO DE GAS LTDA;08575951000443
RAINNA COMERCIO DE GAS LTDA;08575951000281
RAINNA COMERCIO DE GAS LTDA;08575951000958
RAINNA COMERCIO DE GAS LTDA;08575951000109
REVENDEDORA DE GAS BUTANO SAO JOSE LTDA;02170877000156
REVENDEDORA DE GAS CONQUISTA LTDA;3,76719E+13
RICARDO PEREIRA RUFINO 04434834347;2,72766E+13
R J DERIVADOS DE PETROLEO LTDA;08357282000190
R M MARQUES DA SILVA;4,2708E+13
R N B DIVINO;2,6154E+13
R N CANTANHEDE DEPOSITO DE GAS;2,36038E+13
R RODRIGUES MARTINS;2,36858E+13
